,product_name,product_desc,product_type,product_rating,num_reviews,customizations,metadata
https://www.saatva.com/mattresses/crib-mattress,Crib Mattress,Our dual-sided nontoxic crib mattress for little ones,mattresses,4.8,4,{'crib_firm': 355},"{'product_info': 'Tap to zoom\nCrib Mattress\nOur dual-sided nontoxic crib mattress for little ones\nWe’re the best reviewed sleep brand since 2010\n$355\nADD A PAIR OF CRIB SHEETS\nOrganic Cotton Crib Sheet Pair+$79\nThis breathable fitted sheet adds an extra layer of protection and comfort to your baby’s crib mattress.\nSubtotal\n$355\nAs low as $20/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n45-day free returns\nLearn More\nFree shipping\nLearn More\nLifetime warranty\nLearn More', 'product_value': ""Give a bundle of comfort to your bundle of joy with our dual-sided crib mattress\nOur dual-sided baby mattress is designed with the safety and unique sleep needs of babies and toddlers in mind. Handcrafted with natural, nontoxic, eco-friendly materials, it gives you peace of mind as your baby is cradled in soothing comfort.\nTwo beds in one\nFlippable design adapts to their unique sleep needs with double-firm support for babies and firm support for toddlers.\nHealthier sleep\nGREENGUARD Gold Certified to be free of harmful emissions, formaldehyde, and VOCs (won't off-gas). Naturally hypoallergenic and antimicrobial organic cotton and organic wool, and a chemical-free flame barrier cover create a safer sleep environment for your child.\nWashable, accident-proof cover\nAccidents and spills are a breeze to clean with a breathable, removable & washable cover made with organic cotton and treated with a safe, eco-friendly water-repellent treatment.""}"
https://www.saatva.com/mattresses/saatva-youth,Saatva Youth Mattress,Our versatile innerspring youth mattress designed for growing kids,mattresses,4.9,18,"{'full_plush+soft': 855, 'full_medium+firm': 855, 'twin_plush+soft': 795, 'twin_medium+firm': 795, 'twin+xl_plush+soft': 935, 'twin+xl_medium+firm': 935}","{'product_info': 'Tap to zoom\nSaatva Youth Mattress\nOur versatile innerspring youth mattress designed for growing kids\n4.9 star rating\n18 Reviews\n$795\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nAbout Comfort Levels\nSELECT FOUNDATION HEIGHT\nSAVE$20\nLearn More\n4.75""\n8.75""\nNo Foundation\nWaterproof Mattress Protector Twin +$115\nOur organic cotton mattress protector adds a breathable layer of protection from spills and excess moisture.\nSAVE $40\nAdd 2 Down Alternative Pillows\nQueen (Pair) +\nCurrent price:\n$190\nOriginal Price:\n$230\nEnjoy the airy comfort of this hypoallergenic pillow covered in 100% organic cotton.\nSubtotal\n$795\nAs low as $45/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': ""Great days start with great sleep on the best mattress for kids\nOur dual-sided youth mattress is specifically designed to help growing kids ages 3 to 12 reach their full potential through great sleep. It's handcrafted with the same eco-friendly, high-quality materials as all Saatva mattresses to provide exceptional comfort and support for growing bodies\nTwo beds in one\nNo need to buy a new mattress thanks to its dual-sided, flippable design that adapts to your child's growth.\nHealthier sleep\nNaturally hypoallergenic and antimicrobial organic cotton, nontoxic natural thistle flame barrier, and CertiPUR-US® certified foams are healthier for your child and the planet.\nAccident-proof\nA water-resistant finish and internal waterproof barrier protect the mattress against accidents and spills to make cleanup easy.""}"
https://www.saatva.com/mattresses/saatva-hd,Saatva HD Mattress,The first luxury hybrid innerspring for bigger bodies,mattresses,4.9,119,"{'king_medium+firm': 3545, 'king_firm': 3545, 'queen_medium+firm': 2945, 'queen_firm': 2945, 'full_medium+firm': 2345, 'full_firm': 2345, 'twin_medium+firm': 1595, 'twin_firm': 1595, 'split+king_medium+firm': 3790, 'split+king_firm': 3790, 'cal+king_medium+firm': 3545, 'cal+king_firm': 3545, 'twin+xl_medium+firm': 1795, 'twin+xl_firm': 1795}","{'product_info': 'Tap to zoom\nSaatva HD Mattress\nThe first luxury hybrid innerspring for bigger bodies\n4.9 star rating\n119 Reviews\n$3,295\n$2,945\nSAVE $350\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nSELECT HD FOUNDATION HEIGHT\nLearn More\nselect size\n[object Object]\n[object Object]\n[object Object]\n4.75""\nCurrent price:\n$325\nOriginal Price:\n$355\n8.75""\nCurrent price:\n$325\nOriginal Price:\n$355\nNo Foundation - I already own a solid foundation/platform base\nOur HD foundation was designed to pair with the Saatva HD\nSaatva HD is NOT compatible with regular foundations and box springs.\nAdd the metal frame (sold separately) underneath the foundation to lift it 7.5"" off the ground\nMattress cannot sit directly on the metal frame\nMore than 80% of HD mattress shoppers choose a foundation\nAdd Metal Frame,\n$129\nOrganic Mattress Pad Queen +$265\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 High Loft Saatva Latex Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nWith a loft height of 6-7"", this pillow is specially suited for side and combination sleepers\nSubtotal\n$3,650$3,220\nAs low as $135/month at 0% APR with Affirm Learn More\nAdd 2 Items to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': 'Experience deeper, more restorative sleep on the best mattress for heavy people\nSpecifically engineered to comfortably support people weighing up to 500 pounds, our heavy duty hybrid innerspring mattress delivers optimal support in every sleep position.\nBack & joint pain relief\nPatented Lumbar Zone® Technology adds enhanced support for your lumbar region, while 5-zone natural latex offers excellent pressure-point relief.\nCool comfort\nWe’ve strategically layered breathable organic cotton, 100% natural latex, and open coils to promote easy air flow for a cooler night’s sleep.\nDurable support\nDesigned with tempered 12.5-gauge recycled steel coils that are 25% stronger than the industry standard, Saatva HD won’t sag or dip.'}"
https://www.saatva.com/mattresses/saatva-classic,Saatva Classic Mattress,America's best-selling online luxury innerspring,mattresses,4.8,3000,"{'king_plush+soft': 2195, 'king_medium+firm': 2195, 'king_firm': 2195, 'queen_plush+soft': 1695, 'queen_medium+firm': 1695, 'queen_firm': 1695, 'full_plush+soft': 1595, 'full_medium+firm': 1595, 'full_firm': 1595, 'twin_plush+soft': 895, 'twin_medium+firm': 895, 'twin_firm': 895, 'split+king_plush+soft': 2440, 'split+king_medium+firm': 2440, 'split+king_firm': 2440, 'cal+king_plush+soft': 2195, 'cal+king_medium+firm': 2195, 'cal+king_firm': 2195, 'split+cal+king_plush+soft': 2440, 'split+cal+king_medium+firm': 2440, 'split+cal+king_firm': 2440, 'twin+xl_plush+soft': 1195, 'twin+xl_medium+firm': 1195, 'twin+xl_firm': 1195}","{'product_info': 'Tap to zoom\nAwarded “Best Overall Mattress” by Good Morning America\nSaatva Classic Mattress\nAmerica\'s best-selling online luxury innerspring\n4.8 star rating\n3000 Reviews\n$1,995\n$1,695\nSAVE $300\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nSplit Cal King\nSELECT HEIGHT\nLearn More\n11.5""\n14.5""\nSELECT COMFORT LEVEL\nLearn More\nPlush Soft\nLuxury Firm\nFirm\nLearn more\nAdd Foundation or Adjustable Base Save up to $100\n\nOrganic Mattress Pad Queen +$265\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 High Loft Saatva Latex Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nWith a loft height of 6-7"", this pillow is specially suited for side and combination sleepers\nSubtotal\n$1,995$1,695\nAs low as $95/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': 'Luxurious\nPlush 3"" Euro pillow top comes standard for cushioned comfort and pressure relief\nAvailable in three firmness levels for every sleep position and style\nDurable\nSay goodbye to sagging with a responsive dual-coil design made of recycled carbon steel\nTempered three times for superb durability\nSupportive\nGet extra support where you need it most with our patented Lumbar Zone® Technology\nEnjoy healthy spinal alignment in any sleep position\nBreathable\nOur naturally breathable cover made with organic cotton helps you sleep cooler\nDual-coil design allows more airflow throughout to help disperse body heat'}"
https://www.saatva.com/mattresses/saatva-rx,Saatva Rx,The first luxury mattress specially designed for sleepers with chronic back & joint conditions,mattresses,,0,"{'king_medium+firm': 3395, 'queen_medium+firm': 2945, 'full_medium+firm': 2345, 'twin_medium+firm': 1695, 'split+king_medium+firm': 3990, 'cal+king_medium+firm': 3395, 'twin+xl_medium+firm': 1895}","{'product_info': 'Tap to zoom\nNEW\nSaatva Rx\nThe first luxury mattress specially designed for sleepers with chronic back & joint conditions\nWe’re the best reviewed sleep brand since 2010\n$3,295\n$2,945\nSAVE $350\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nLearn more\nAdd Foundation or Adjustable Base Save up to $100\n\nOrganic Mattress Pad Queen +$265\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 Memory Foam Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nGive your head & neck the same chiropractor-approved support with our plush latex pillows.\nSubtotal\n$3,295$2,945\nAs low as $123/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': 'Body-Contouring\nCradles your body in weightless support to relieve pressure points\nMicro-coils are more flexible than other spring types, conforming to every curve while maintaining the perfect density\nEnhanced back support\nGet extra support where you need it most with our patented Lumbar Zone® Technology\nAdded lower back support and pressure relief with a gel-infused memory foam lumbar crown\nResponsive\nAutomatically adjusts to your curves & movements\nReduces motion transfer for more undisturbed sleep\nBreathable\nSleep cooler with our naturally breathable cover made with organic cotton\nBreathable foams & dual-coil design allow for more airflow to disperse body heat', 'product_overview': 'Features & Benefits\nBase Compatibility\nFirmness\nCertifications'}"
https://www.saatva.com/mattresses/zenhaven,Zenhaven Natural Latex Mattress,"Our dual-sided mattress with organic natural latex for buoyant, pressure-relieving comfort ",mattresses,4.9,315,"{'king_medium+firm': 3545, 'king_firm': 3545, 'queen_medium+firm': 2945, 'queen_firm': 2945, 'full_medium+firm': 2345, 'full_firm': 2345, 'twin_medium+firm': 1595, 'twin_firm': 1595, 'split+king_medium+firm': 3790, 'split+king_firm': 3790, 'cal+king_medium+firm': 3545, 'cal+king_firm': 3545, 'twin+xl_medium+firm': 1795, 'twin+xl_firm': 1795}","{'product_info': 'Tap to zoom\nZenhaven Natural Latex Mattress\nOur dual-sided mattress with organic natural latex for buoyant, pressure-relieving comfort\n4.9 star rating\n315 Reviews\n$1,895\n$1,595\nSAVE $300\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nAbout Comfort Levels\nLearn more\nAdd Foundation or Adjustable Base Save up to $100\n\nOrganic Mattress Pad Twin +$195\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 High Loft Saatva Latex Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nWith a loft height of 6-7"", this pillow is specially suited for side and combination sleepers\nSubtotal\n$1,895$1,595\nAs low as $89/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': 'Drift into pure, effortless sleep\nwith our natural latex mattress\nDesigned to give you the purest in pressure-free support, our naturally hypoallergenic premium latex mattress is flippable to give you two distinct comfort options. Zenhaven is handcrafted with only the highest quality, natural, nontoxic materials to give you healthier, better quality sleep.\nBack & joint pain relief\n5-zone natural latex gives you enhanced lower back support and pressure-point relief where you need it most.\nCool comfort\nSuperbly breathable organic cotton, natural latex, and New Zealand wool naturally regulate your body temperature.\nBetter for you and the planet\nMade with sustainably sourced, organic & natural materials that are free of potentially harmful chemicals.'}"
https://www.saatva.com/mattresses/dog-bed,Saatva Dog Bed,"Saatva comfort & luxury, designed just for our furry friends",mattresses,,0,{},"{'product_info': 'Tap to zoom\nNEW\nSaatva Dog Bed\nSaatva comfort & luxury, designed just for our furry friends\n0.0 star rating\nWrite a review\n$275\nSELECT SIZE\nSmall\nMedium\nLarge\nSELECT COLOR\nTaupe Boucle\nAdd Extra Removable Dog Bed Cover\nOur pets deserve the best. That’s why we elevated the traditional pet bed with an upgraded ergonomic design and premium materials to give your best friend the same comfort, quality, and durability you’ve come to expect from a Saatva mattress.\nThe first dog bed with responsive micro-coils for healthy spinal alignment and ease of motion for pets of all ages\nLuxurious plush comfort fibers are baffle quilted to prevent shifting and provide a cuddle-worthy sleep surface that’s cozy yet breathable\nHigh-performance fabric cover with pet-safe water-repellent barrier protection (the same technology used in waterproof performance outerwear)\nSpot clean cover with a paper towel or cloth rag or remove cover and blot with a damp cloth and soapy water for tougher stains\nSubtotal\n$275\nAs low as $16/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n45-day free returns\nLearn More\nFree shipping\nLearn More\n1-year limited warranty\nLearn More\nMade in the U.S.A.\nLearn More', 'product_overview': 'Features & Benefits\nSize guide\nFabric content & care'}"
https://www.saatva.com/mattresses/saatva-latex-hybrid,Saatva Latex Hybrid Mattress,"Our hand-tufted hybrid innerspring with organic natural latex for buoyant, cooling comfort",mattresses,4.8,182,"{'king_medium+firm': 2245, 'queen_medium+firm': 1895, 'full_medium+firm': 1695, 'twin_medium+firm': 1095, 'split+king_medium+firm': 2640, 'cal+king_medium+firm': 2245, 'twin+xl_medium+firm': 1295}","{'product_info': 'Tap to zoom\nSaatva Latex Hybrid Mattress\nOur hand-tufted hybrid innerspring with organic natural latex for buoyant, cooling comfort\n4.8 star rating\n182 Reviews\n$2,195\n$1,895\nSAVE $300\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nLearn more\nAdd Foundation or Adjustable Base Save up to $100\n\nOrganic Mattress Pad Queen +$265\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 High Loft Saatva Latex Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nWith a loft height of 6-7"", this pillow is specially suited for side and combination sleepers\nSubtotal\n$2,195$1,895\nAs low as $106/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': 'Natural\nPremium eco-friendly materials, sustainably sourced from nature\nOrganic\nGOLS-certified organic natural latex, GOTS certified organic New Zealand wool, and cover made with organic cotton\nNontoxic\nGREENGUARD Gold & eco-INSTITUT® certified to be free of pollutants & emissions, reducing your risk of daily chemical exposure to potentially harmful substances.\nHypoallergenic\nNaturally hypoallergenic latex repels dust mites, mold, and other common indoor allergens'}"
https://www.saatva.com/mattresses/loom-and-leaf,Loom & Leaf Mattress,Our ultra-premium 5-lb memory foam mattress for a body-hugging feel,mattresses,4.9,545,"{'king_medium+firm': 2595, 'king_firm': 2595, 'queen_medium+firm': 2095, 'queen_firm': 2095, 'full_medium+firm': 1995, 'full_firm': 1995, 'twin_medium+firm': 1095, 'twin_firm': 1095, 'split+king_medium+firm': 2840, 'split+king_firm': 2840, 'cal+king_medium+firm': 2595, 'cal+king_firm': 2595, 'split+cal+king_medium+firm': 2840, 'split+cal+king_firm': 2840, 'twin+xl_medium+firm': 1295, 'twin+xl_firm': 1295}","{'product_info': 'Tap to zoom\nLoom & Leaf Mattress\nOur ultra-premium 5-lb memory foam mattress for a body-hugging feel\n4.9 star rating\n545 Reviews\n$2,395\n$2,095\nSAVE $300\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nSplit Cal King\nSELECT COMFORT LEVEL\nLearn More\nRelaxed Firm\nFirm\nLearn more\nAdd Foundation or Adjustable Base Save up to $100\n\nOrganic Mattress Pad Queen +$265\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 Memory Foam Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nEnjoy the cool comfort and contouring support of our graphite-infused pillow.\nSubtotal\n$2,395$2,095\nAs low as $88/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': ""Your best sleep starts\nwith the best memory foam mattress\nUnlike bed in a box foam mattresses, ours is handcrafted in the U.S. with premium, eco-friendly materials, never stuffed in a box, and hand delivered to your home for free. It's a premium memory foam mattress without the premium price.\nPressure relief\nUltra-premium 5-lb memory foam and high-density foam layers contour to your body to relieve pressure points while offering stable support.\nCool comfort & back support\nUltra breathable gel-infused foam keeps you cool throughout the night while providing extra support for your lower back.\nHealthier sleep\nHypoallergenic, antimicrobial organic cotton cover, nontoxic natural thistle flame barrier, and CertiPUR-US® certified foams are healthier for you and the planet.""}"
https://www.saatva.com/mattresses/memory-foam-hybrid,Memory Foam Hybrid Mattress,Our innovative memory foam & innerspring hybrid for cooler sleep,mattresses,4.8,146,"{'king_medium+firm': 1895, 'queen_medium+firm': 1495, 'full_medium+firm': 1295, 'twin_medium+firm': 995, 'split+king_medium+firm': 2280, 'cal+king_medium+firm': 1895, 'twin+xl_medium+firm': 1115}","{'product_info': 'Tap to zoom\nMemory Foam Hybrid Mattress\nOur innovative memory foam & innerspring hybrid for cooler sleep\n4.8 star rating\n146 Reviews\n$1,795\n$1,495\nSAVE $300\nSELECT SIZE\nSpecs\nTwin\nTwin XL\nFull\nQueen\nKing\nSplit King\nCal King\nLearn more\nAdd Foundation or Adjustable Base Save up to $100\n\nOrganic Mattress Pad Queen +$265\nOur luxurious diamond-patterned mattress pad in 100% organic cotton is the ultimate in breathable protection and comfort.\nSAVE $40\nAdd 2 Memory Foam Pillows\nQueen (Pair) +\nCurrent price:\n$290\nOriginal Price:\n$330\nGive your head & neck the same chiropractor-approved support with our plush latex pillows.\nSubtotal\n$1,795$1,495\nAs low as $84/month at 0% APR with Affirm Learn More\nAdd 1 Item to Cart\nClose Modal\n\nBed Bonanza\nBIG Bedroom Bonanza Sale! 3 DAYS ONLY | Save up to $600 | Ends 8/3 | Learn More\n365-night home trial\nLearn More\nFree in-room delivery & setup\nLearn More\nLifetime warranty\nLearn More\nFree mattress & foundation removal available\nLearn More', 'product_value': 'Body-Contouring\nDeep, body-contouring feel of a memory foam\nGreat pressure-point relief for all sleep positions, especially side sleepers\nResponsive\nResponsive feel of an innerspring with pocketed comfort coils for less motion transfer\nGreater ease of movement—never feel like you’re “locked in” to one position\nTriple Cooling\nInnovative cooling system prevents overheating common with regular memory foam\nPerfect for sleepers who love memory foam but want cooler sleep\nBack Support\nGet extra support where you need it most with our patented Lumbar Zone® Technology\nAdded lower back support and pressure relief with a gel-infused memory foam lumbar crown', 'product_overview': 'Features & Benefits\nBase Compatibility\nFirmness\nCertifications'}"
